Step,Link,Running Vehicles,Occupancy,Travel Time,CO,CO2,HC,PMx,NOx,Fuel,Speed
500,gneE65-n,69624,175,251877,4622841,125593892,23938,2.38,52908,40060168,4056
500,gneE66,16336,41,93715,400935,35731.64,2623,444,13289,11396877,10.63
500,gneE66-n,65772,166,234004,4235893,119625325,22032,2218,50043,38156.35,4396
750,gneE32,5484,72,34526,340388,10029251,1.78,181,4.16,3198981,6112
750,gneE33,3908,71,13.91,164322,11138549,1004,169,4.39,3552711,9977
750,gneE34,4108,55,24796,215846,9618037,1204,0.16,3883,3067765,7922
750,gneE35,5916,78,34314,372469,10929481,1947,198,4531,3486124,6054
750,gneE36,3932,71,13966,167992,11260021,1023,175,4466,3591452,9947
750,gneE37,4.04,54,25535,214326,9307535,1189,154,3757,2968731,7717
750,gneE38,5108,68,29524,281666,9213282,1493,158,3761,2938706,6.76
750,gneE39,3728,67,13887,158434,10743824,968,164,4241,3426.81,9993
750,gneE40,5692,76,26126,298209,12718166,1649,0.21,5129,4056.59,7497
750,gneE41,4444,59,26534,208109,8130065,1132,127,3227,2593188,7548
750,gneE42,4068,73,14172,173433,11455853,1053,176,4533,3653918,9796
750,gneE44,3812,51,23682,186133,8864456,1051,144,3552,2827.4,8268
750,gneE45,956,19,14283,52572,2293472,292,39,933,731525,9638
750,gneE45-n,0.7,13,18433,36162,1795455,206,0.03,724,572675,10119
750,gneE47,1.6,17,25895,67.5,3435328,385,51,1348,1095732,9524
750,gneE47-n,1236,14,25552,52124,2768489,0.3,42,1086,883035,9839
750,gneE48,708,8,23594,25578,1508206,151,21,0.58,481056,10331
750,gneE48-n,1016,11,23962,39255,2312869,231,34,901,737709,10213
750,gneE49,336,7,12777,17664,830432,0.1,14,337,264873,10594
750,gneE49-n,0.62,12,13372,33959,1634124,192,28,664,521217,10223
750,gneE51,2644,52,17859,135539,5744247,749,95,2313,1832188,7944
750,gneE52,2.64,52,17542,105461,4602088,584,68,1796,1467891,8137
750,gneE53,0.62,12,8.36,55318,2745563,317,57,1175,875707,16624
750,gneE53-n,1.58,31,11983,138305,7046.52,798,147,3022,2247.51,12706
750,gneE54,932,0.01,14914,65961,4027622,392,79,1661,1284622,16711
750,gneE54-n,784,9,15726,59771,3398193,0.35,68,1.41,1083864,16759
750,gneE55,1132,12,16.56,79114,4647563,468,91,1918,1482356,15767
750,gneE55-n,552,6,13749,40377,2568405,243,0.05,1.06,819199,17725
750,gneE56,724,14,8818,62291,3225759,0.36,67,1381,1028865,16.18
750,gneE56-n,544,11,7977,47159,2524871,275,52,1076,805315,17299
750,gneE57,2524,0.05,18106,119966,4548017,649,72,1804,1450.65,8013
750,gneE58,2412,47,17212,126624,5455255,702,92,2.21,1740007,8245
750,gneE59,2.08,41,16145,79005,3667297,442,53,1413,1169728,8.72
750,gneE60,2.24,44,17317,123806,5056053,0.68,87,2059,1612.68,8237
750,gneE61,1.04,0.02,15.34,51695,2412779,291,0.04,968,769578,9691
750,gneE62,2.56,0.05,21227,121475,4531982,656,72,1807,1445535,7937
750,gneE63,20328,51,97527,521087,43116878,3339,535,16087,13752476,10212
